index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
-351,6,948062,34316,119147,2,0s;0.009s;0.019s;0.029s;0.426s;0.805s;1.248s,0.022s;0.159s;0.263s;0.367s;0.465s;0.563s;0.668s,0.005s;0.008s;0.007s;0.006s;0.008s;0.007s;0.006s,29642752;30941184;42414080;45903872;49442816;52936704;56729600,29904896;30945280;42414080;45903872;49442816;52936704;67297280,318230;5716682;9346200;13021206;16658596;20594218;24337178
-352,5,153283,14124,16931,2,0s;0.002s;0.003s;0.004s;0.005s;0.096s,0.017s;0.059s;0.076s;0.092s;0.106s;0.123s,0.004s;0.007s;0.007s;0.006s;0.007s;0.007s,44974080;44974080;46129152;46665728;47206400;47751168,44974080;44974080;46129152;46665728;47206400;54595584,240101;1213709;1775149;2340567;2910523;3487368
-353,1,5898,5737,5358,0,0s;0.007s,0.01s;0.014s,0.004s;0.008s,45584384;45604864,45584384;47091712,206318;213837
-354,2,1,-1,-1,-1,0.003s;9.998s;-1,0.053s;4.884s;-1,0.005s;0.008s;-1,29294592;37269504;-1,29691904;37269504;-1,988820;337631417;-1
-355,3,51107,9107,11033,6,0s;0.021s;0.033s;0.098s,0.014s;0.042s;0.055s;0.084s,0.004s;0.007s;0.007s;0.006s,36450304;36696064;38215680;39813120,36450304;36700160;38215680;51634176,221809;683281;944564;1207215
-356,16,4420313,95030,523020,10,0.001s;0.017s;0.033s;0.049s;0.062s;0.068s;7.06s;9.343s;12.206s;1.567s;1.741s;2.033s;2.482s;3.176s;4.845s;6.252s;21.94s,0.027s;0.227s;0.371s;0.517s;0.663s;0.782s;0.933s;1.119s;1.287s;1.474s;1.674s;1.875s;2.085s;2.27s;2.487s;2.745s;2.917s,0.005s;0.008s;0.007s;0.007s;0.007s;0.008s;0.009s;0.008s;0.007s;0.007s;0.007s;0.006s;0.007s;0.007s;0.008s;0.007s;0.009s,48889856;48906240;59203584;65347584;71360512;77373440;83529728;89980928;96468992;102948864;109449216;115974144;122527744;129060864;135503872;142057472;148590592,48889856;48906240;59203584;65347584;71360512;77373440;83529728;89980928;96468992;102948864;109449216;115974144;122527744;129060864;135503872;142057472;537235456,468009;10701025;17105929;23383081;29655995;36075245;42788106;49514531;56257816;63021544;69811845;76631263;83430570;90141142;96959605;103762900;110623122
-357,30,0,0,0,0,0.001s;0.001s;0.001s;0.001s;0.001s;0.001s;0.001s;0.002s;0.002s;0.001s;0.002s;0.002s;0.003s;0.002s;0.003s;0.002s;0.002s;0.002s;0.002s;0.003s;0.003s;0.003s;0.004s;0.004s;0.003s;0.003s;0.003s;0.004s;0.004s;0.005s;0.005s,0.009s;0.024s;0.024s;0.028s;0.033s;0.036s;0.044s;0.051s;0.051s;0.063s;0.065s;0.073s;0.08s;0.088s;0.096s;0.104s;0.117s;0.123s;0.132s;0.151s;0.154s;0.16s;0.177s;0.187s;0.198s;0.215s;0.224s;0.233s;0.251s;0.265s;0.286s,0.006s;0.007s;0.007s;0.007s;0.006s;0.008s;0.006s;0.006s;0.008s;0.006s;0.008s;0.006s;0.006s;0.008s;0.007s;0.006s;0.007s;0.007s;0.006s;0.007s;0.007s;0.008s;0.006s;0.006s;0.006s;0.007s;0.007s;0.007s;0.006s;0.008s;0.008s,29851648;30855168;31731712;32628736;34021376;36048896;37175296;40783872;42483712;43921408;44109824;45891584;47632384;49692672;50221056;50221056;51085312;51142656;51224576;51290112;51343360;51400704;51458048;51539968;51642368;51707904;51761152;51818496;51875840;51929088;51986432,30253056;30859264;31735808;32628736;34021376;36048896;37175296;40783872;42483712;43921408;44109824;45891584;47632384;49692672;50221056;50221056;51085312;51142656;51224576;51290112;51343360;51400704;51458048;51539968;51642368;51707904;51761152;51818496;51875840;51929088;51986432,208317;312064;369291;426518;483745;540972;598199;655426;712653;769880;827260;884640;942757;1000872;1058999;1117178;1175028;1232986;1290912;1348981;1407395;1466178;1524939;1583619;1642150;1700851;1759634;1818397;1877115;1935624;1994307
-358,26,1,-1,-1,-1,0s;0.107s;0.194s;0.288s;0.373s;0.472s;0.556s;0.652s;0.754s;0.843s;0.935s;1.038s;1.128s;1.233s;1.33s;1.428s;1.527s;1.648s;1.748s;1.856s;1.982s;2.065s;2.155s;2.28s;2.389s;2.486s;-1,0.028s;0.918s;1.617s;2.52s;3.331s;4.143s;4.941s;5.678s;6.574s;7.405s;7.772s;8.717s;9.593s;10.56s;11.764s;12.571s;13.562s;14.723s;15.662s;16.823s;17.83s;19.266s;20.274s;21.535s;22.937s;23.929s;-1,0.004s;0.007s;0.006s;0.007s;0.006s;0.008s;0.006s;0.005s;0.009s;0.008s;0.007s;0.006s;0.008s;0.007s;0.006s;0.007s;0.007s;0.007s;0.007s;0.007s;0.009s;0.006s;0.008s;0.008s;0.007s;0.006s;-1,50176000;50565120;110120960;148353024;184958976;221556736;258777088;296321024;334262272;372326400;410951680;449269760;487837696;526622720;565063680;602935296;640909312;679092224;717393920;755372032;793710592;835821568;876904448;915570688;954331136;993095680;-1,50176000;50565120;110120960;148353024;184958976;221556736;258777088;296321024;334266368;372326400;410951680;449269760;487837696;526622720;565063680;602935296;640909312;679092224;717393920;755372032;793710592;835821568;876904448;915570688;954331136;993095680;-1,453130;62267188;102031007;140163133;178291656;217039534;255972084;295212873;334748721;374905082;414750634;454848490;495164026;535133448;574532322;614037478;653748974;693577513;733084857;772954741;816594147;859203861;899398452;939691013;979984246;1020214542;-1
-359,3,199857,14288,26996,5,0s;0.113s;0.252s;0.481s,0.016s;0.067s;0.113s;0.125s,0.005s;0.008s;0.007s;0.007s,29401088;31137792;38928384;40058880,29667328;31141888;38928384;55599104,238494;2203302;3370003;4554528
-360,9,2183018,56012,268575,10,0.002s;0.014s;0.024s;1.853s;3.045s;4.383s;6.143s;7.733s;10.215s;2.73s,0.019s;0.192s;0.32s;0.437s;0.567s;0.703s;0.843s;0.985s;1.132s;1.305s,0.006s;0.008s;0.007s;0.007s;0.008s;0.008s;0.007s;0.007s;0.008s;0.009s,48656384;48664576;57266176;62390272;67514368;72994816;78651392;84357120;89968640;95531008,48656384;48664576;57266176;62390272;67518464;72994816;78651392;84357120;89968640;115695616,337548;8882481;14220143;19564730;25240028;31122168;37051551;42887036;48669308;54539590
-361,5,6953427,85723,1124641,14,0.003s;0.081s;0.151s;0.225s;5.199s;12.963s,0.027s;1.018s;1.872s;2.781s;3.657s;4.58s,0.005s;0.007s;0.007s;0.008s;0.008s;0.007s,53178368;53235712;100196352;132288512;165040128;197791744,53178368;53235712;100196352;132288512;165040128;220065792,525836;49021976;82333337;116303292;150267147;184239607
-362,8,1032271,36944,91423,7,0s;0.007s;0.009s;0.017s;0.363s;0.671s;0.928s;1.19s;1.512s,0.021s;0.125s;0.184s;0.249s;0.308s;0.395s;0.444s;0.51s;0.579s,0.005s;0.008s;0.006s;0.007s;0.007s;0.007s;0.008s;0.008s;0.007s,55050240;55083008;59498496;61915136;64348160;66822144;69529600;72019968;74522624,55050240;55083008;59498496;61915136;64348160;66822144;69529600;72019968;76460032,259795;4592216;7126257;9676770;12267123;15087394;17695421;20315431;23144113
-363,30,0,0,0,0,0s;0.001s;0.002s;0.004s;0.004s;0.005s;0.007s;0.008s;0.01s;0.01s;0.012s;0.012s;0.014s;0.015s;0.018s;0.019s;0.023s;0.024s;0.025s;0.027s;0.029s;0.036s;0.034s;0.037s;0.04s;0.043s;0.046s;0.049s;0.053s;0.056s;0.061s,0.013s;0.043s;0.059s;0.074s;0.09s;0.103s;0.124s;0.143s;0.161s;0.187s;0.213s;0.24s;0.268s;0.291s;0.322s;0.354s;0.393s;0.418s;0.452s;0.483s;0.526s;0.579s;0.604s;0.656s;0.717s;0.748s;0.824s;0.861s;0.915s;1.001s;1.049s,0.005s;0.008s;0.008s;0.007s;0.007s;0.008s;0.006s;0.008s;0.008s;0.008s;0.008s;0.006s;0.006s;0.006s;0.008s;0.008s;0.008s;0.008s;0.008s;0.008s;0.01s;0.006s;0.008s;0.006s;0.007s;0.007s;0.009s;0.009s;0.006s;0.009s;0.008s,29179904;31010816;38502400;39948288;40427520;40902656;41533440;42082304;42577920;43081728;43601920;44126208;44662784;45219840;45785088;46366720;46968832;47595520;48349184;49033216;49750016;50499584;51302400;52133888;53010432;53936128;54919168;55955456;57081856;58294272;59568128,29581312;31023104;38502400;39948288;40427520;40902656;41533440;42082304;42577920;43081728;43601920;44126208;44662784;45219840;45785088;46366720;46968832;47595520;48349184;49033216;49750016;50499584;51302400;52133888;53010432;53936128;54919168;55955456;57081856;58294272;59568128,230877;988891;1473893;1963901;2461468;2968233;3478106;3994410;4521584;5056722;5602136;6159592;6732832;7319805;7924192;8549333;9198618;9876079;10582511;11322418;12097501;12911579;13768776;14672842;15627673;16641778;17710894;18868484;20104689;21413517;22799795
-364,30,0,0,0,0,0.002s;0.013s;0.024s;0.036s;0.049s;0.061s;0.074s;0.084s;0.098s;0.111s;0.123s;0.135s;0.149s;0.162s;0.178s;0.188s;0.2s;0.212s;0.229s;0.239s;0.253s;0.264s;0.288s;0.289s;0.306s;0.324s;0.337s;0.349s;0.368s;0.375s;0.388s,0.018s;0.178s;0.293s;0.405s;0.511s;0.623s;0.734s;0.918s;0.999s;1.127s;1.284s;1.407s;1.572s;1.748s;1.925s;2.079s;2.257s;2.518s;2.652s;2.856s;3.013s;3.203s;3.41s;3.646s;3.776s;4.031s;4.244s;4.522s;4.775s;4.994s;5.208s,0.005s;0.006s;0.007s;0.007s;0.006s;0.006s;0.007s;0.006s;0.008s;0.006s;0.007s;0.006s;0.007s;0.011s;0.008s;0.007s;0.006s;0.009s;0.008s;0.008s;0.007s;0.006s;0.007s;0.006s;0.007s;0.007s;0.006s;0.006s;0.007s;0.008s;0.008s,38895616;39530496;47390720;52064256;56733696;61546496;66248704;70946816;75833344;80875520;85921792;90976256;96030720;101089280;106156032;111222784;116297728;121384960;126476288;131575808;136683520;141811712;146956288;152150016;157388800;162582528;167800832;173182976;178442240;183803904;189222912,38895616;39530496;47390720;52064256;56733696;61546496;66248704;70946816;75833344;80875520;85921792;90976256;96030720;101089280;106156032;111222784;116297728;121384960;126476288;131575808;136683520;141811712;146956288;152150016;157388800;162582528;167800832;173182976;178442240;183803904;189222912,319338;8189802;13069040;17941091;22957877;27864040;32768216;37857248;43104863;48355033;53610309;58869420;64132837;69401309;74675347;79955910;85243852;90539599;95844429;101159232;106492847;111839032;117238956;122683289;128086927;133509093;139099432;144566519;150139274;155767431;161412559
-365,3,28378,7972,8685,5,0s;0.01s;0.016s;0.086s,0.012s;0.028s;0.033s;0.035s,0.004s;0.006s;0.006s;0.007s,29327360;30560256;33230848;36126720,29732864;30564352;33230848;53276672,218288;453225;580474;710155
-366,30,1364957,62332,169470,5,0s;0.004s;0.005s;0.007s;0.321s;0.453s;0.57s;0.703s;0.85s;0.996s;1.23s;1.397s;1.612s;1.775s;2.084s;2.273s;2.501s;2.819s;3.143s;3.435s;3.826s;4.19s;4.621s;5.048s;5.419s;5.661s;6.106s;6.783s;7.402s;7.917s;8.373s,0.015s;0.062s;0.086s;0.111s;0.133s;0.158s;0.181s;0.211s;0.249s;0.28s;0.347s;0.351s;0.391s;0.433s;0.477s;0.522s;0.557s;0.615s;0.66s;0.721s;0.766s;0.817s;0.898s;0.932s;0.981s;1.097s;1.098s;1.181s;1.246s;1.337s;1.392s,0.005s;0.007s;0.006s;0.006s;0.008s;0.008s;0.008s;0.008s;0.006s;0.006s;0.007s;0.007s;0.007s;0.006s;0.008s;0.006s;0.009s;0.008s;0.008s;0.006s;0.007s;0.006s;0.006s;0.006s;0.006s;0.01s;0.009s;0.007s;0.008s;0.007s;0.008s,29237248;30744576;38621184;39514112;40431616;41345024;42352640;43315200;44232704;45158400;46088192;47038464;48017408;48967680;49930240;50995200;52080640;53125120;54169600;55222272;56299520;57401344;58523648;59678720;60923904;62201856;63524864;64876544;66273280;67710976;69193728,29614080;30773248;38621184;39514112;40431616;41345024;42352640;43315200;44232704;45158400;46088192;47038464;48017408;48967680;49930240;50995200;52080640;53133312;54169600;55222272;56299520;57401344;58523648;59682816;60923904;62201856;63524864;64876544;66273280;67710976;69193728,246371;1851816;2786643;3729084;4676726;5636628;6595057;7554372;8522989;9492797;10470289;11455239;12449411;13454549;14564646;15692717;16774894;17855095;18954145;20074444;21221407;22391974;23591648;24880737;26206706;27569167;28971014;30414994;31904296;33441885;35031119
-367,30,0,0,0,0,0.001s;0.001s;0s;0s;0.001s;0s;0.002s;0.001s;0.002s;0.002s;0.001s;0.001s;0.002s;0.002s;0.002s;0.003s;0.003s;0.003s;0.004s;0.004s;0.004s;0.005s;0.007s;0.006s;0.007s;0.007s;0.008s;0.01s;0.012s;0.013s;0.015s,0.011s;0.025s;0.028s;0.03s;0.029s;0.032s;0.033s;0.037s;0.041s;0.044s;0.053s;0.054s;0.055s;0.062s;0.067s;0.07s;0.078s;0.091s;0.092s;0.098s;0.107s;0.119s;0.127s;0.137s;0.155s;0.159s;0.172s;0.185s;0.208s;0.218s;0.238s,0.005s;0.006s;0.007s;0.006s;0.008s;0.007s;0.008s;0.007s;0.007s;0.008s;0.006s;0.006s;0.008s;0.007s;0.007s;0.008s;0.007s;0.008s;0.006s;0.009s;0.008s;0.007s;0.007s;0.007s;0.006s;0.007s;0.008s;0.007s;0.006s;0.007s;0.008s,37130240;37560320;37842944;38178816;38547456;38666240;39067648;39956480;40894464;41000960;42627072;44400640;45076480;46583808;46755840;48525312;48738304;31313920;38256640;38412288;38563840;38731776;38916096;39124992;39354368;39608320;39890944;40202240;40542208;40923136;41336832,37130240;37560320;37842944;38178816;38547456;38666240;39067648;39956480;40894464;41000960;42627072;44400640;45076480;46583808;46755840;48525312;48738304;31510528;38256640;38412288;38563840;38731776;38916096;39124992;39354368;39608320;39890944;40202240;40542208;40923136;41336832,212693;264784;295655;327369;360281;394817;431474;470820;513494;560206;611873;669215;733155;804687;885113;975850;1088264;1209298;1368765;1523569;1695209;1886690;2099816;2336441;2598526;2888313;3207993;3559596;3945274;4367367;4828293
-368,30,0,0,0,0,0s;0.006s;0.009s;0.015s;0.019s;0.023s;0.028s;0.033s;0.038s;0.043s;0.048s;0.052s;0.057s;0.061s;0.068s;0.071s;0.077s;0.083s;0.086s;0.09s;0.095s;0.1s;0.105s;0.109s;0.115s;0.132s;0.124s;0.13s;0.136s;0.142s;0.148s,0.019s;0.098s;0.142s;0.187s;0.227s;0.271s;0.309s;0.359s;0.401s;0.451s;0.507s;0.56s;0.633s;0.688s;0.745s;0.832s;0.891s;0.972s;1.037s;1.112s;1.243s;1.297s;1.349s;1.435s;1.498s;1.598s;1.655s;1.758s;1.829s;1.956s;2.049s,0.005s;0.006s;0.007s;0.008s;0.007s;0.008s;0.008s;0.007s;0.007s;0.006s;0.009s;0.006s;0.006s;0.007s;0.007s;0.006s;0.008s;0.007s;0.007s;0.008s;0.007s;0.012s;0.008s;0.007s;0.006s;0.009s;0.009s;0.007s;0.008s;0.008s;0.007s,29351936;31178752;40476672;42270720;44064768;45875200;47652864;49610752;51519488;53391360;55214080;57139200;59138048;61112320;62988288;64868352;66752512;68644864;70549504;72458240;74465280;76505088;78553088;80617472;82673664;84688896;86749184;88801280;90877952;92971008;95088640,29732864;31182848;40476672;42270720;44064768;45875200;47652864;49610752;51519488;53391360;55214080;57139200;59138048;61112320;62988288;64868352;66752512;68644864;70549504;72458240;74465280;76505088;78553088;80617472;82673664;84688896;86749184;88801280;90877952;92971008;95088640,245137;3354739;5199137;7069104;8935382;10793855;12838096;14833001;16738471;18644610;20655460;22740572;24799255;26759001;28725158;30695302;32673590;34660675;36658483;38747776;40869020;43003499;45152393;47295270;49396134;51515668;53655493;55818417;58001040;60207180;62439181
