index,t_solve_list,t_ground_list,ground_file_bytes_list
-30,0.001s;0.018s;0.031s;0.045s;0.062s;0.076s;0.09s;0.107s;0.125s;0.138s;0.157s;0.172s;0.188s;0.212s;0.224s;0.248s;0.268s;0.286s;0.307s;0.328s;0.351s;0.375s;0.402s;0.429s;0.471s;0.492s;0.53s;0.567s;0.611s;0.651s;0.705s,0.019s;0.217s;0.359s;0.491s;0.631s;0.774s;0.898s;1.068s;1.258s;1.394s;1.563s;1.774s;1.96s;2.231s;2.426s;2.667s;2.905s;3.103s;3.394s;3.648s;4.067s;4.442s;4.533s;4.865s;5.202s;5.522s;5.852s;6.31s;6.689s;7.063s;7.53s,295524;11742992;18474827;25617702;32476913;39556448;46982518;54435226;61687448;68896928;76124900;83417314;90843919;98570417;106399519;114373291;122469441;130842365;139697533;148559963;157558453;166827328;176464859;186469237;196838009;207616320;218760869;230321315;242420171;255671707;268965057
-31,0s;0.004s;0.006s;0.009s;0.502s;0.766s;1.003s;1.267s;1.569s;2.186s,0.019s;0.082s;0.117s;0.152s;0.186s;0.224s;0.261s;0.296s;0.327s;0.383s,285342;2266607;3497806;4757136;6025093;7299482;8580417;9879568;11245759;12699126
-32,0s;0.001s;0.001s;0.012s,0.015s;0.029s;0.035s;0.033s,216249;357623;434680;512217
-33,0s;0.001s;0.002s;0.002s;0.003s;0.003s;0.005s;0.004s;0.006s;0.005s;0.006s;0.006s;0.007s;0.008s;0.009s;0.009s;0.01s;0.01s;0.011s;0.012s;0.012s;0.014s;0.013s;0.013s;0.015s;0.016s;0.016s;0.016s;0.018s;0.018s;0.018s,0.011s;0.035s;0.041s;0.05s;0.058s;0.064s;0.077s;0.086s;0.097s;0.109s;0.118s;0.14s;0.146s;0.167s;0.173s;0.191s;0.203s;0.217s;0.236s;0.256s;0.269s;0.285s;0.307s;0.318s;0.34s;0.359s;0.379s;0.406s;0.416s;0.466s;0.476s,219192;636373;881616;1126951;1372441;1620666;1868384;2118015;2368844;2621399;2872997;3123906;3378332;3632691;3886498;4139764;4393003;4645400;4899741;5152562;5405819;5659216;5912030;6164742;6417555;6670469;6923484;7176600;7429817;7683155;7936573
-34,0s;0.01s;0.02s;0.03s;0.04s;0.052s;0.061s;0.076s;0.089s;0.094s;0.105s;0.117s;0.127s;0.142s;0.15s;0.166s;0.175s;0.183s;0.2s;0.21s;0.23s;0.233s;0.247s;0.258s;0.272s;0.289s;0.298s;0.318s;0.327s;0.342s;0.361s,0.02s;0.162s;0.263s;0.365s;0.465s;0.562s;0.648s;0.761s;0.852s;0.98s;1.096s;1.268s;1.34s;1.525s;1.629s;1.771s;1.919s;2.069s;2.217s;2.422s;2.639s;2.729s;2.982s;3.106s;3.271s;3.507s;3.657s;3.893s;4.015s;4.256s;4.471s,288860;6283868;10086933;13965954;17843781;21796329;25660781;29531738;33577645;37731989;41898498;46077211;50270283;54414578;58559923;62649411;66761873;70900316;75070754;79402134;83646102;88014309;92504610;97006786;101559248;106450366;111161372;115941416;120793972;125848797;130958304
-35,0s;0.001s;0.001s;0.003s;0.003s;0.004s;0.004s;0.004s;0.005s;0.006s;0.007s;0.008s;0.009s;0.01s;0.011s;0.012s;0.013s;0.015s;0.017s;0.02s;0.022s;0.029s;0.026s;0.032s;0.033s;0.037s;0.042s;0.047s;0.053s;0.057s;0.065s,0.013s;0.039s;0.048s;0.057s;0.063s;0.073s;0.089s;0.099s;0.109s;0.125s;0.141s;0.156s;0.174s;0.189s;0.203s;0.233s;0.253s;0.27s;0.299s;0.328s;0.356s;0.38s;0.414s;0.471s;0.488s;0.522s;0.55s;0.625s;0.651s;0.693s;0.767s,217697;652464;909995;1169504;1433218;1703559;1979105;2264358;2560264;2869422;3190794;3527694;3886934;4267982;4672656;5105888;5571003;6070133;6609046;7193331;7824085;8507379;9248126;10060511;10964184;11941164;12968349;14079222;15280234;16578411;17979297
-36,0s;0.015s;0.027s;0.038s;0.05s;0.062s;0.078s;0.087s;0.099s;0.11s;0.122s;0.135s;0.145s;0.158s;0.171s;0.188s;0.199s;0.213s;0.228s;0.243s;0.258s;0.273s;0.291s;0.307s;0.325s;0.35s;0.372s;0.388s;0.414s;0.44s;0.463s,0.021s;0.203s;0.329s;0.44s;0.579s;0.665s;0.809s;0.943s;1.08s;1.2s;1.369s;1.55s;1.694s;1.923s;2.083s;2.306s;2.493s;2.751s;2.948s;3.198s;3.408s;3.884s;3.895s;4.185s;4.387s;4.728s;4.994s;5.33s;6.045s;5.951s;6.32s,349724;9818452;15558203;21511378;27235576;32961748;38896562;44684838;50504911;56351988;62213045;68340370;74545712;80802329;87119457;93507411;99977681;106542796;113223958;120031583;127054094;134287139;142291797;149927689;157807574;165955321;174429579;183307349;192534811;202193638;212252487
-37,0.003s;0.029s;0.053s;0.08s;0.101s;0.127s;0.15s;0.178s;0.203s;0.228s;0.257s;0.28s;0.31s;0.337s;0.366s;0.389s;0.424s;0.459s;0.485s;0.524s;0.555s;0.591s;0.631s;0.67s;0.711s;0.76s;0.82s;0.867s;0.926s;0.984s;1.042s,0.021s;0.313s;0.521s;0.74s;0.953s;1.164s;1.39s;1.62s;1.865s;2.13s;2.426s;2.68s;2.962s;3.277s;3.658s;3.911s;4.287s;4.655s;4.988s;5.352s;5.71s;6.127s;6.586s;7.465s;7.463s;8.018s;8.539s;8.908s;9.577s;10.03s;10.54s,386218;15941796;25539970;35694858;45485162;55266491;65542880;75909502;86316424;96772737;107292812;117886028;128565974;139357733;150396396;161810323;173115421;184615614;196332275;208502092;220972732;233698920;246675722;260012191;273785876;288083649;303019461;318801294;334785404;351426372;368738227
-38,0.002s;0.059s;0.109s;0.372s,0.015s;0.1s;0.143s;0.203s,248073;3415918;5379884;7342814
-39,0s;0.043s;0.078s;0.116s;0.149s;0.184s;2.588s;3.187s;3.779s;4.476s;5.173s;6.626s;8.085s;8.257s;10.838s;-1,0.027s;0.47s;0.84s;1.212s;1.545s;1.935s;2.318s;2.701s;3.099s;3.527s;4.016s;4.405s;4.916s;5.397s;5.85s;-1,415407;23964806;39366715;54745629;69993661;85230931;100895905;116717495;132549957;148394913;164418091;180404718;196383040;212418966;228871339;-1
-40,0.001s;0s;0s;0.008s,0.013s;0.035s;0.038s;0.043s,209415;367019;455751;544963
-41,0s;0.008s;0.014s;0.02s;0.028s;0.033s;0.043s;0.053s;0.059s;0.083s;0.075s;0.084s;0.096s;0.102s;0.111s;0.122s;0.132s;0.143s;0.156s;0.164s;0.174s;0.187s;0.203s;0.216s;0.23s;0.245s;0.263s;0.284s;0.306s;0.329s;0.369s,0.02s;0.122s;0.195s;0.261s;0.31s;0.372s;0.446s;0.505s;0.562s;0.643s;0.744s;0.813s;0.899s;1.008s;1.103s;1.239s;1.297s;1.601s;1.538s;1.709s;1.807s;1.939s;2.112s;2.275s;2.543s;2.562s;2.746s;2.921s;3.131s;3.316s;3.528s,295341;4243796;6712337;9188004;11656916;14166178;16661857;19237373;21989301;24759516;27554062;30317035;33075425;35824573;38625567;41483163;44409120;47514734;50733373;54057469;57463801;60943247;64575421;68648960;72654971;76875061;81329321;86044001;91077170;96398394;102137968
-42,0s;0.001s;0.001s;0.019s,0.012s;0.033s;0.039s;0.042s,209792;380834;480945;581208
