index,t_solve_list,t_ground_list,ground_file_bytes_list
90,0.012s;0.399s;0.664s;-1,4.259s;14.103s;22.166s;-1,13911774;348684870;523321973;-1
91,0.011s;0.411s;0.693s;-1,5.316s;16.551s;26.249s;-1,15013315;372303885;558707871;-1
92,0.01s;0.478s;0.842s;-1,4.099s;17.561s;28.159s;-1,13940558;365945299;556493924;-1
93,0.011s;0.399s;0.654s;0.927s;-1,4.29s;13.873s;23.219s;28.048s;-1,13885315;343602092;515653252;687704412;-1
94,0.01s;0.395s;0.651s;-1,4.222s;14.232s;19.611s;-1,13786673;343947922;516174116;-1
95,0.012s;0.368s;0.617s;0.883s;-1,4.002s;13.013s;19.684s;26.48s;-1,13387649;332714138;499323912;665935926;-1
96,0.01s;0.372s;0.642s;0.868s;-1,3.784s;13.054s;18.653s;24.324s;-1,13094084;326370855;489807738;653244621;-1
97,0.01s;0.584s;1.335s;-1,4.652s;18.995s;27.012s;-1,14731618;400022043;618095125;-1
98,0.011s;0.469s;-1,4.891s;19.832s;-1,14808380;381958135;-1
99,0.011s;0.367s;0.609s;-1,4.546s;15.251s;21.137s;-1,13190472;327569539;491633958;-1
100,0.01s;0.818s;-1,5.24s;26.681s;-1,14221919;417337890;-1
101,0.011s;1.262s;-1,4.693s;21.387s;-1,13010082;465041189;-1
102,0.011s;1.17s;-1,5.561s;26.671s;-1,14919094;488152202;-1
103,0.011s;0.455s;0.849s;-1,4.936s;18.044s;27.632s;-1,14392233;367434443;558893769;-1
104,0.011s;1.792s;-1,4.007s;27.09s;-1,13394634;553300902;-1
105,0.012s;1.596s;-1,4.423s;19.809s;-1,14301071;543404039;-1
106,0.011s;0.448s;0.788s;-1,4.008s;16.567s;21.346s;-1,13491987;348645280;530261622;-1
107,0.01s;0.759s;-1,4.113s;19.188s;-1,13490132;408529670;-1
108,0.011s;0.509s;1.06s;-1,4.205s;19.244s;28.045s;-1,13441290;377547622;583045249;-1
109,0.011s;0.421s;0.749s;-1,4.042s;15.848s;24.2s;-1,13094935;334782942;509266858;-1
110,0.011s;0.757s;-1,7.201s;22.64s;-1,15015152;422639468;-1
111,0.011s;0.402s;0.724s;-1,5.249s;15.434s;24.679s;-1,14392392;356230291;534596767;-1
112,0.01s;0.391s;0.672s;-1,5.25s;15.854s;21.915s;-1,13910231;348917538;523669700;-1
113,0.011s;0.709s;-1,5.506s;21.631s;-1,14370509;411638437;-1
114,0.01s;0.432s;0.783s;-1,4.27s;18.951s;25.082s;-1,13317573;349356016;531318455;-1
115,0.01s;0.442s;-1,4.691s;19.126s;-1,13584606;346865525;-1
116,0.011s;0.419s;-1,5.347s;21.145s;-1,14291899;357574601;-1
117,0.012s;0.478s;-1,5.138s;23.872s;-1,14196733;376292998;-1
118,0.011s;0.705s;1.35s;-1,5.1s;21.553s;26.339s;-1,13989775;393884083;619926738;-1
119,0.01s;0.484s;0.876s;-1,4.593s;18.031s;27.205s;-1,14599109;373517797;568122479;-1
120,0.011s;-1,5.074s;-1,13984851;-1
121,0.01s;-1,4.295s;-1,13705895;-1
122,0.011s;0.375s;0.633s;-1,4.85s;15.313s;20.286s;-1,13788035;343485266;515485821;-1
123,0.011s;0.838s;-1,5.131s;22.258s;-1,14702747;413960064;-1
124,0.011s;0.366s;0.59s;0.845s;-1,3.797s;12.384s;18.239s;25.181s;-1,12921771;322223502;483591282;644959062;-1
125,0.011s;0.508s;-1,4.214s;17.241s;-1,13486810;361279207;-1
126,0.011s;1.031s;-1,4.937s;22.262s;-1,14525105;441149176;-1
127,0.011s;1.906s;-1,5.288s;24.278s;-1,14534653;601650938;-1
128,0.011s;0.437s;0.788s;-1,4.88s;20.724s;23.142s;-1,13788161;353526504;537728893;-1
129,0.011s;0.397s;0.649s;-1,4.575s;16.813s;21.032s;-1,14163052;356789111;535450111;-1
130,0.011s;0.422s;0.765s;-1,4.127s;17.513s;22.914s;-1,13558415;345514587;525561046;-1
131,0.01s;0.428s;0.774s;-1,4.003s;15.053s;22.833s;-1,13290020;343225240;522028893;-1
132,0.011s;0.408s;0.681s;-1,4.64s;17.427s;24.126s;-1,14600032;364939107;547662469;-1
133,0.01s;0.573s;1.164s;-1,5.003s;20.655s;26.685s;-1,14600009;390555007;603691481;-1
134,0.01s;0.46s;0.852s;-1,4.889s;18.098s;25.803s;-1,14778139;375171696;570652613;-1
135,0.011s;0.465s;0.837s;-1,4.758s;18.792s;24.986s;-1,14468089;368090379;559876542;-1
136,0.011s;0.558s;1.073s;-1,4.596s;18.204s;25.323s;-1,14165887;376444776;581974428;-1
137,0.011s;0.379s;0.634s;-1,4.45s;16.079s;20.872s;-1,13685859;340315590;510725486;-1
139,0.01s;0.992s;-1,4.698s;24.416s;-1,13751043;431790423;-1
140,0.011s;0.557s;-1,4.913s;24.722s;-1,14396017;390388215;-1
141,0.011s;1.716s;-1,4.69s;21.551s;-1,13791150;512026556;-1
142,0.011s;0.444s;0.796s;-1,5.531s;17.874s;28.296s;-1,13686327;350576054;533254584;-1
143,0.015s;0.434s;0.621s;0.873s;-1,5.206s;14.739s;21.321s;28.457s;-1,13511921;337069891;505865359;674667547;-1
