index,models,steps,total_wall,total_cpu,mem_start_bytes,mem_end_bytes,mem_delta_bytes,wall_ground_list,cpu_ground_list,wall_solve_list,cpu_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,aspif_bytes_list,mem_grounding_mb_list,mem_solve_mb_list
385,0,17,361.434,360.375,1099051008,1917313024,780.36,9.039483;8.2344;9.195252;10.153632;11.022827;11.881532;12.902494;13.8348;14.842092;15.840433;16.70806;17.736654;18.611915;19.603154;20.443335;21.503115;22.44363;-1,9.046875;8.15625;9.1875;10.109375;10.984375;11.8125;12.90625;13.828125;14.671875;15.796875;16.671875;17.640625;18.59375;19.5;20.4375;21.453125;22.375;-1,0.359542;0.247414;0.292303;0.309753;0.321296;0.333693;0.33626;0.353065;0.365084;0.376375;0.384418;0.403782;0.407409;0.430152;0.433669;0.438163;0.449489;-1,0.359375;0.25;0.28125;0.3125;0.328125;0.328125;0.328125;0.34375;0.375;0.375;0.390625;0.40625;0.40625;0.4375;0.421875;0.453125;0.4375;-1,425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;425;-1,0;315190;2693504;5153017;7613817;10075137;12536460;14997786;17459115;19920447;22381782;24843120;27304461;29765805;32227152;34688502;37149855;-1,0;315183;403114;491842;582115;672903;763692;854482;945273;1036065;1126858;1217652;1308447;1399243;1490040;1580838;1671637;-1,0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-1,13;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;-1,14286373;93403482;175159057;256922876;338703548;420488426;502269097;584049765;665957537;755123364;844457055;933794947;1023132838;1112466526;1201804415;1291142303;1380480190;-1,1064.36;1126.52;1139.8;1169.75;1214.11;1259.38;1306.43;1350.11;1395.62;1452.48;1496.27;1542.03;1585.52;1627.82;1675.12;1722.39;1768.33;-1,1067.99;1119.95;1151.89;1180.4;1229.46;1272.4;1318.5;1363.31;1411.03;1465.57;1510.17;1554.36;1600.17;1641.97;1688.09;1735.51;1782.89;-1
386,0,9,225.44,225.078,1503772672,4887343104,3226.82,10.459678;13.732828;14.542834;15.539256;16.976031;18.012719;19.72711;20.816763;22.058793;-1,10.453125;13.703125;14.515625;15.53125;16.96875;18.015625;19.671875;20.796875;22.03125;-1,0.428782;0.45318;0.476902;0.904832;0.96674;2.386449;2.899126;3.004072;3.215121;-1,0.421875;0.4375;0.453125;0.90625;0.96875;2.359375;2.890625;3.0;3.203125;-1,458;458;458;458;458;458;458;458;458;-1,0;348693;5192394;10124852;15058614;20177071;25296152;30783498;36270899;-1,0;348670;445898;543924;643483;744208;845018;947111;1049207;-1,0;17;17;17;17;17;17;17;17;-1,28;11;11;11;11;11;11;11;11;-1,28;28;28;28;28;28;28;28;28;-1,15856597;174195154;335417423;496647929;663818545;831010285;1010044345;1189287353;1384218110;-1,1451.68;1553.11;1560.81;1584.79;1667.67;1777.45;2229.3;2806.64;3454.05;-1,1455.77;1536.19;1561.69;1637.2;1752.6;2191.2;2743.42;3385.59;4023.27;-1
387,1,10,166.611,166.281,996851712,2994524160,1905.13,10.298703;7.388213;8.522124;9.481777;11.145844;12.116613;13.210817;14.15546;15.299632;16.342865,10.28125;7.359375;8.46875;9.484375;11.125;12.09375;13.15625;14.09375;15.28125;16.296875,0.421966;0.221585;0.282731;0.860959;1.132201;1.32643;1.994811;1.709296;2.56747;6.284016,0.421875;0.234375;0.28125;0.859375;1.140625;1.328125;2.0;1.71875;2.578125;6.28125,452;452;452;452;452;452;452;452;452;452,0;346218;2125282;3992510;5861007;8007125;10153807;12300542;14447321;16594194,0;346215;441796;538160;636045;735360;834676;933994;1033314;1132636,0;4;4;4;4;4;4;4;4;4,12;8;8;8;8;8;8;8;8;8,12;12;12;12;12;12;12;12;12;12,15741117;75957427;139040511;202131840;274135921;346165341;418194758;490277574;568467593;647038563,975.02;1020.43;1046.28;1094.81;1296.46;1549.29;1796.78;2045.34;2297.23;2544.35,981.38;1017.88;1068.6;1250.33;1521.87;1770.78;2018.1;2264.38;2517.19;2855.82
388,0,16,337.886,336.984,1555427328,2659041280,1052.49,9.147469;8.231023;9.20335;10.312683;11.260038;12.22415;13.159515;14.040002;15.045957;16.048266;17.156556;18.009895;18.882432;19.877405;20.84835;21.786216;-1,9.140625;8.21875;9.171875;10.265625;11.25;12.15625;13.09375;14.03125;15.015625;16.015625;17.125;17.96875;18.828125;19.84375;20.78125;21.71875;-1,0.357919;0.247645;0.444736;0.454679;0.493598;0.495108;0.520909;0.545572;0.558985;0.580009;0.617924;0.621311;0.638051;0.660805;0.679093;0.726863;-1,0.359375;0.25;0.421875;0.453125;0.5;0.5;0.53125;0.546875;0.5625;0.578125;0.59375;0.625;0.640625;0.671875;0.6875;0.734375;-1,428;428;428;428;428;428;428;428;428;428;428;428;428;428;428;428;-1,0;315705;2704356;5174278;7727897;10282038;12836221;15390464;17944788;20499217;23053778;25608501;28163419;30718568;33273987;35829718;-1,0;315698;403482;493023;583348;673673;763999;854326;944654;1034983;1125313;1215644;1305976;1396309;1486643;1576978;-1,0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-1,13;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;-1,14311987;93729266;175767990;260495602;345244337;429997270;514750195;599507312;684297279;776640427;869245836;961863815;1054490155;1147133249;1239784697;1332457083;-1,1499.81;1551.69;1557.5;1594.45;1652.3;1704.65;1758.49;1813.41;1867.62;1928.8;1983.13;2038.27;2113.6;2206.66;2297.85;2389.77;-1,1503.57;1543.82;1581.88;1635.0;1691.3;1745.09;1799.19;1854.23;1906.66;1968.38;2023.34;2079.35;2170.54;2263.87;2354.63;2446.15;-1
389,1,8,83.642,83.516,1800155136,2033463296,222.5,9.449326;4.125636;5.192856;6.097647;7.046313;8.053015;9.010428;9.931076,9.4375;4.125;5.1875;6.09375;7.03125;8.046875;8.96875;9.90625,0.373105;0.079335;0.145405;0.161532;0.186671;0.192747;0.215594;2.636071,0.375;0.078125;0.15625;0.15625;0.1875;0.1875;0.21875;2.625,427;427;427;427;427;427;427;427,0;323069;567141;893578;1221333;1549704;1878226;2206908,0;323064;411532;500790;591564;682850;774140;865434,0;7;7;7;7;7;7;7,27;20;20;20;20;20;20;20,27;27;27;27;27;27;27;27,14654321;25507825;39037834;52576086;66139600;79707312;93283418;106867919,1733.39;1743.1;1752.06;1772.4;1796.61;1821.52;1842.12;1862.65,1737.15;1744.6;1768.77;1789.19;1817.21;1838.58;1859.07;1939.29
390,0,12,272.729,271.938,1806262272,4751118336,2808.43,9.539829;10.424282;11.451426;12.37954;14.211765;15.048479;15.987308;17.042487;18.038682;19.063601;20.142247;21.131608;-1,9.53125;10.375;11.40625;12.328125;14.171875;15.015625;15.921875;17.015625;17.984375;18.953125;20.109375;21.09375;-1,0.390358;0.334111;0.376146;1.353848;1.604422;1.633575;1.681604;1.801196;1.831384;1.942925;1.971996;2.051162;-1,0.390625;0.328125;0.375;1.359375;1.609375;1.609375;1.671875;1.78125;1.828125;1.9375;1.953125;2.0625;-1,439;439;439;439;439;439;439;439;439;439;439;439;-1,0;328365;3743646;7244754;10747191;14606421;18466269;22326231;26186349;30046671;33907251;37768149;-1,0;328356;419755;511965;605766;701276;796786;892297;987809;1083322;1178836;1274351;-1,0;1;1;1;1;1;1;1;1;1;1;1;-1,19;18;18;18;18;18;18;18;18;18;18;18;-1,19;19;19;19;19;19;19;19;19;19;19;19;-1,14898415;127320147;242528331;357744751;484439810;611160172;737884692;864617557;992255774;1130224467;1268758656;1407317888;-1,1739.26;1794.82;1800.82;1821.65;2039.06;2284.5;2530.56;2778.42;3038.58;3312.47;3579.18;3896.33;-1,1743.07;1782.9;1805.64;1983.1;2264.88;2511.36;2758.15;3018.2;3283.7;3557.06;3864.89;4191.64;-1
391,0,4,111.22,110.672,1025568768,3371225088,2236.99,9.674497;18.256515;19.104517;20.048961;-1,9.59375;18.234375;18.96875;19.890625;-1,0.388263;0.642228;0.665226;4.257361;-1,0.390625;0.640625;0.640625;4.234375;-1,434;434;434;434;-1,0;330056;7637219;15028461;-1,0;330054;423092;516924;-1,0;1;1;1;-1,25;24;24;24;-1,25;25;25;25;-1,14983689;251995843;491739471;731491320;-1,1001.01;1210.17;1297.88;1413.68;-1,1007.21;1187.05;1297.89;2166.37;-1
392,1,5,47.196,47.109,1029013504,1236946944,198.3,10.007476;4.303852;5.440924;6.418413;7.373262,9.953125;4.296875;5.421875;6.421875;7.359375,0.406461;0.088415;0.150633;0.162838;2.009679,0.40625;0.078125;0.15625;0.15625;2.015625,439;439;439;439;439,0;339138;595313;937879;1281678,0;339136;431802;525251;620176,0;1;1;1;1,7;6;6;6;6,7;7;7;7;7,15407439;26793184;40990725;55196519;69419165,1004.63;1017.75;1028.04;1061.34;1097.5,1010.9;1020.14;1054.97;1086.74;1179.67
393,1,10,136.046,135.688,1086951424,1834180608,712.61,9.604264;5.744849;6.865876;7.770854;8.98066;9.934564;10.963317;11.981695;12.940789;14.022163,9.578125;5.734375;6.84375;7.75;8.96875;9.921875;10.921875;11.90625;12.90625;14.0,0.386292;0.158861;0.212416;0.334391;0.423707;0.444657;0.492738;0.504988;0.609552;3.450136,0.390625;0.15625;0.21875;0.328125;0.421875;0.453125;0.5;0.5;0.609375;3.421875,433;433;433;433;433;433;433;433;433;433,0;329914;1382428;2519015;3656896;4882636;6108521;7334592;8560912;9787560,0;329902;420784;512464;605687;699738;793827;887930;982035;1076142,0;1;1;1;1;1;1;1;1;1,19;18;18;18;18;18;18;18;18;18,19;19;19;19;19;19;19;19;19;19,14975229;51780837;91317926;130859049;173232733;215610577;258000978;300399698;343290339;389318946,1053.5;1083.39;1091.31;1116.46;1182.04;1268.45;1350.56;1433.95;1515.13;1605.83,1057.39;1081.02;1108.2;1161.42;1251.99;1334.29;1417.73;1498.57;1581.28;1749.23
394,1,6,75.537,75.25,1293615104,1850621952,531.2,10.876558;6.28821;7.460243;8.846794;9.964734;11.085513,10.84375;6.234375;7.390625;8.8125;9.90625;11.046875,0.445761;0.172297;0.512134;0.77747;0.995257;3.20679,0.453125;0.171875;0.515625;0.78125;1.0;3.1875,450;450;450;450;450;450,0;357779;1499539;2733614;4156972;5583424,0;357740;456448;557060;659093;761127,0;1;1;1;1;1,112;111;111;111;111;111,112;112;112;112;112;112,16288470;56209007;99105922;148103010;197258987;246623604,1251.52;1279.61;1287.05;1364.47;1488.64;1603.54,1255.66;1277.6;1355.42;1474.55;1594.01;1764.91
395,0,18,352.653,351.984,1304711168,1793892352,466.52,10.571464;4.489845;5.654076;6.671948;7.689733;8.788226;9.801264;10.854495;11.932146;12.847558;13.841328;15.173131;16.074851;17.191346;18.062138;19.198504;20.32344;21.389257;-1,10.578125;4.484375;5.65625;6.65625;7.6875;8.78125;9.71875;10.859375;11.90625;12.84375;13.765625;15.140625;15.953125;17.15625;18.0;19.203125;20.25;21.390625;-1,0.431475;0.089649;0.156255;0.171957;0.215979;0.204652;0.215007;0.2289;0.2371;0.262737;0.262599;0.279367;0.290336;0.314558;0.316525;0.328732;0.339512;0.354898;-1,0.4375;0.078125;0.15625;0.1875;0.203125;0.203125;0.21875;0.234375;0.234375;0.265625;0.265625;0.28125;0.296875;0.3125;0.3125;0.328125;0.34375;0.34375;-1,456;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456;456;-1,0;351493;616577;971618;1327932;1687571;2047268;2407048;2766951;3126994;3487214;3847642;4208383;4569436;4930927;5292751;5655108;6018028;-1,0;351487;447287;543887;642016;740656;839298;937941;1036586;1135232;1233879;1332526;1431175;1529825;1628477;1727128;1825780;1924433;-1,0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-1,10;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-1,15985119;27767896;42480838;57193613;72008163;86822701;101641425;116501283;132405705;148416840;164530529;180660955;196808094;212971942;229160859;245374843;261613875;277890530;-1,1261.85;1274.05;1280.08;1304.81;1332.05;1357.63;1381.2;1403.89;1435.26;1458.08;1480.91;1504.89;1529.78;1553.51;1578.02;1601.47;1625.95;1665.6;-1,1265.91;1274.32;1300.99;1323.45;1353.88;1377.2;1400.04;1423.34;1454.09;1477.03;1499.75;1525.81;1548.93;1573.66;1597.54;1621.87;1645.62;1686.15;-1
396,0,13,291.758,290.953,1317412864,5130858496,3636.79,10.104651;8.97437;9.999554;10.989669;12.756194;13.802492;14.887768;15.867647;16.91589;18.052826;19.13672;20.165609;21.229344;-1,10.0625;8.921875;10.0;10.953125;12.703125;13.765625;14.84375;15.84375;16.8125;17.984375;19.109375;20.171875;21.171875;-1,0.411729;0.291241;0.325073;1.266298;1.608906;1.653504;1.712611;1.873296;1.845702;1.993086;2.013422;2.058043;2.246897;-1,0.421875;0.296875;0.328125;1.265625;1.609375;1.640625;1.6875;1.875;1.84375;1.984375;2.0;2.0625;2.25;-1,443;443;443;443;443;443;443;443;443;443;443;443;443;-1,0;341555;2926922;5599296;8273049;11308380;14344400;17380612;20417106;23453992;26491401;29529486;32568423;-1,0;341548;436201;531674;628781;727654;826529;925407;1024288;1123172;1222059;1320949;1419842;-1,0;3;3;3;3;3;3;3;3;3;3;3;3;-1,27;24;24;24;24;24;24;24;24;24;24;24;24;-1,27;27;27;27;27;27;27;27;27;27;27;27;27;-1,15522866;101501409;190312875;279132569;379578914;480050563;580534777;681031533;790273623;900015964;1009885964;1119797769;1229763939;-1,1273.59;1328.85;1336.53;1361.76;1559.02;1854.75;2190.92;2524.06;2878.51;3218.89;3552.35;3895.06;4241.2;-1,1277.58;1320.92;1348.3;1538.14;1836.88;2162.25;2498.25;2842.05;3193.82;3524.22;3867.59;4211.72;4552.97;-1
