index,steps,rules,atoms,variables,sccs,t_solve_list,t_ground_list,t_parse_list,mem_start_bytes_list,mem_solve_bytes_list,ground_file_bytes_list
96,4,1,-1,-1,-1,0.01s;0.372s;0.642s;0.868s;-1,3.784s;13.054s;18.653s;24.324s;-1,0.005s;0.006s;0.006s;0.006s;-1,26763264;39059456;339738624;496058368;-1,26918912;39235584;339902464;496078848;-1,13094084;326370855;489807738;653244621;-1
97,3,1,-1,-1,-1,0.01s;0.584s;1.335s;-1,4.652s;18.995s;27.012s;-1,0.004s;0.006s;0.008s;-1,26673152;40644608;410689536;-1,26247168;40300544;410882048;-1,14731618;400022043;618095125;-1
98,2,1,-1,-1,-1,0.011s;0.469s;-1,4.891s;19.832s;-1,0.004s;0.007s;-1,26853376;40980480;-1,26865664;41156608;-1,14808380;381958135;-1
99,3,1,-1,-1,-1,0.011s;0.367s;0.609s;-1,4.546s;15.251s;21.137s;-1,0.004s;0.006s;0.007s;-1,26714112;42098688;343478272;-1,26271744;42098688;343478272;-1,13190472;327569539;491633958;-1
100,2,1,-1,-1,-1,0.01s;0.818s;-1,5.24s;26.681s;-1,0.005s;0.007s;-1,26554368;43085824;-1,26775552;43085824;-1,14221919;417337890;-1
101,2,1,-1,-1,-1,0.011s;1.262s;-1,4.693s;21.387s;-1,0.004s;0.008s;-1,26710016;41934848;-1,26943488;41934848;-1,13010082;465041189;-1
102,2,1,-1,-1,-1,0.011s;1.17s;-1,5.561s;26.671s;-1,0.004s;0.008s;-1,26722304;41402368;-1,27090944;41586688;-1,14919094;488152202;-1
103,3,1,-1,-1,-1,0.011s;0.455s;0.849s;-1,4.936s;18.044s;27.632s;-1,0.004s;0.007s;0.006s;-1,26714112;40574976;378986496;-1,26939392;40747008;379199488;-1,14392233;367434443;558893769;-1
104,2,1,-1,-1,-1,0.011s;1.792s;-1,4.007s;27.09s;-1,0.005s;0.007s;-1,26714112;39604224;-1,26861568;39682048;-1,13394634;553300902;-1
105,2,1,-1,-1,-1,0.012s;1.596s;-1,4.423s;19.809s;-1,0.005s;0.006s;-1,26718208;40488960;-1,26939392;40660992;-1,14301071;543404039;-1
106,3,1,-1,-1,-1,0.011s;0.448s;0.788s;-1,4.008s;16.567s;21.346s;-1,0.005s;0.008s;0.006s;-1,26554368;42397696;363749376;-1,26779648;42397696;363753472;-1,13491987;348645280;530261622;-1
107,2,1,-1,-1,-1,0.01s;0.759s;-1,4.113s;19.188s;-1,0.005s;0.008s;-1,26718208;42393600;-1,26861568;42393600;-1,13490132;408529670;-1
108,3,1,-1,-1,-1,0.011s;0.509s;1.06s;-1,4.205s;19.244s;28.045s;-1,0.004s;0.006s;0.008s;-1,26705920;39673856;389144576;-1,26939392;39104512;388259840;-1,13441290;377547622;583045249;-1
109,3,1,-1,-1,-1,0.011s;0.421s;0.749s;-1,4.042s;15.848s;24.2s;-1,0.004s;0.007s;0.009s;-1,27222016;42004480;347713536;-1,26284032;42004480;347914240;-1,13094935;334782942;509266858;-1
110,2,1,-1,-1,-1,0.011s;0.757s;-1,7.201s;22.64s;-1,0.004s;0.008s;-1,26554368;43884544;-1,26923008;43888640;-1,15015152;422639468;-1
111,3,1,-1,-1,-1,0.011s;0.402s;0.724s;-1,5.249s;15.434s;24.679s;-1,0.006s;0.006s;0.008s;-1,26718208;43278336;370954240;-1,26935296;43278336;370962432;-1,14392392;356230291;534596767;-1
112,3,1,-1,-1,-1,0.01s;0.391s;0.672s;-1,5.25s;15.854s;21.915s;-1,0.006s;0.007s;0.006s;-1,26722304;42790912;363945984;-1,26869760;42790912;363950080;-1,13910231;348917538;523669700;-1
113,2,1,-1,-1,-1,0.011s;0.709s;-1,5.506s;21.631s;-1,0.005s;0.006s;-1,26710016;43233280;-1,26861568;39993344;-1,14370509;411638437;-1
114,3,1,-1,-1,-1,0.01s;0.432s;0.783s;-1,4.27s;18.951s;25.082s;-1,0.007s;0.007s;0.008s;-1,26546176;42225664;364429312;-1,26771456;42225664;364433408;-1,13317573;349356016;531318455;-1
115,2,1,-1,-1,-1,0.01s;0.442s;-1,4.691s;19.126s;-1,0.005s;0.008s;-1,26714112;39788544;-1,26865664;39866368;-1,13584606;346865525;-1
116,2,1,-1,-1,-1,0.011s;0.419s;-1,5.347s;21.145s;-1,0.006s;0.007s;-1,26714112;40468480;-1,26288128;40546304;-1,14291899;357574601;-1
117,2,1,-1,-1,-1,0.012s;0.478s;-1,5.138s;23.872s;-1,0.009s;0.007s;-1,26710016;43089920;-1,26935296;43089920;-1,14196733;376292998;-1
118,3,1,-1,-1,-1,0.011s;0.705s;1.35s;-1,5.1s;21.553s;26.339s;-1,0.005s;0.007s;0.006s;-1,26742784;40341504;407359488;-1,26918912;40517632;407359488;-1,13989775;393884083;619926738;-1
119,3,1,-1,-1,-1,0.01s;0.484s;0.876s;-1,4.593s;18.031s;27.205s;-1,0.004s;0.007s;0.006s;-1,26796032;43491328;387604480;-1,26370048;43491328;387608576;-1,14599109;373517797;568122479;-1
120,1,1,-1,-1,-1,0.011s;-1,5.074s;-1,0.004s;-1,27279360;-1,27283456;-1,13984851;-1
121,1,1,-1,-1,-1,0.01s;-1,4.295s;-1,0.005s;-1,26632192;-1,26865664;-1,13705895;-1
122,3,1,-1,-1,-1,0.011s;0.375s;0.633s;-1,4.85s;15.313s;20.286s;-1,0.005s;0.006s;0.007s;-1,26796032;42725376;358756352;-1,27013120;42725376;358760448;-1,13788035;343485266;515485821;-1
123,2,1,-1,-1,-1,0.011s;0.838s;-1,5.131s;22.258s;-1,0.004s;0.007s;-1,26644480;40751104;-1,26873856;40927232;-1,14702747;413960064;-1
124,4,1,-1,-1,-1,0.011s;0.366s;0.59s;0.845s;-1,3.797s;12.384s;18.239s;25.181s;-1,0.004s;0.007s;0.008s;0.009s;-1,26640384;39256064;338374656;493096960;-1,26800128;39424000;338374656;489889792;-1,12921771;322223502;483591282;644959062;-1
125,2,1,-1,-1,-1,0.011s;0.508s;-1,4.214s;17.241s;-1,0.005s;0.007s;-1,26632192;42442752;-1,26796032;42442752;-1,13486810;361279207;-1
126,2,1,-1,-1,-1,0.011s;1.031s;-1,4.937s;22.262s;-1,0.005s;0.007s;-1,26767360;43429888;-1,26980352;43429888;-1,14525105;441149176;-1
