index,t_ground_list,t_solve_list,consts_size_list,rules_list,atoms_list,rel_facts_list,rel_nonfacts_list,rel_total_list,ground_file_bytes_list
21,10.156023;5.073997;6.216719;7.182651;8.285417;9.195329;10.150431;11.211765;12.236071;13.237203;14.259972;15.278333;16.326902;17.271691;18.315955;19.293339;20.289437;21.421025;-1,0.415823;0.116709;0.17556;0.189411;0.209977;0.219478;0.229906;0.239172;0.266834;0.263675;0.271994;0.285518;0.301303;0.314175;0.319292;0.330133;0.335735;0.352732;-1,402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;402;-1,0;339581;926449;1599684;2274036;2948842;3623661;4298487;4973316;5648148;6322983;6997821;7672662;8347506;9022353;9697203;10372056;11046912;-1,0;339570;432566;526298;621367;716888;812423;907964;1003507;1099052;1194599;1290148;1385699;1481252;1576807;1672364;1767923;1863484;-1,0;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;-1,15264916;37197211;61941312;86685260;111450270;136215277;160976070;185741075;210956656;237745059;264717872;291686487;318655095;345627908;372600709;399569325;426542132;453514931;-1
22,9.780852;4.278464;5.383627;6.359933;7.308614;8.318494,0.398406;0.077986;0.137816;0.158843;0.191224;2.182113,392;392;392;392;392;392,0;333164;584103;920258;1257636;1595514,0;333160;424000;515617;608696;702265,0;6;6;6;6;6,6;0;0;0;0;0,6;6;6;6;6;6,14965382;26073827;39951811;53838052;67741144;81644235
23,9.820624;5.010791;6.167683;7.208465;8.073563;9.146725,0.407423;0.214759;0.301974;0.384558;0.407614;2.485426,400;400;400;400;400;400,0;335044;911697;1665567;2420567;3176028,0;335040;426894;519806;614068;708778,0;6;6;6;6;6,6;0;0;0;0;0,6;6;6;6;6;6,15051097;36611522;63905233;91203001;118517620;145832238
24,9.021586;5.483058;6.590359;7.454098;8.486444;9.461205;10.418906;11.316358;12.340635;13.352419;14.102417;15.311498;16.171506;17.353526;18.373989;19.106327;20.111865;21.126811;-1,0.370822;0.141442;0.199728;0.305557;0.361853;0.37719;0.397147;0.407485;0.440317;0.453339;0.488809;0.486796;0.518963;0.538507;0.571063;0.574325;0.590776;0.620509;-1,382;382;382;382;382;382;382;382;382;382;382;382;382;382;382;382;382;382;-1,0;316665;1325206;2414355;3504682;4679244;5853813;7028866;8203927;9378997;10554077;11729168;12904271;14079387;15254517;16429662;17604823;18780001;-1,0;316658;403921;491936;581370;671567;761767;851967;942168;1032370;1122573;1212777;1302982;1393188;1483395;1573603;1663812;1754022;-1,0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1,7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;-1,14199176;49421242;87260642;125112518;165670197;206232088;246810895;287389702;328218296;372237831;416511215;460788803;505066390;549343972;593621556;637899138;682176717;726458500;-1
25,9.568412;7.011791;8.072486;9.061284;10.581993;11.47997;12.404869,0.392605;0.201744;0.249276;0.771127;1.186157;1.535239;3.791749,392;392;392;392;392;392;392,0;328055;2010569;3776532;5543603;7572670;9602210,0;328054;418657;509982;602645;696634;790622,0;1;1;1;1;1;1,11;10;10;10;10;10;10,11;11;11;11;11;11;11,14729880;71633535;131247544;190869824;258914222;326975535;395036845
26,8.729291;8.079449;9.00882;9.864569;11.45621;12.402456;13.447937;14.361086;-1,0.353487;0.233037;0.268052;1.158288;1.467189;1.493304;2.421905;8.880254;-1,382;382;382;382;382;382;382;382;-1,0;308628;2619947;5011874;7405068;10137530;12870919;15604925;-1,0;308624;394671;481439;569600;659488;749379;839274;-1,0;3;3;3;3;3;3;3;-1,30;27;27;27;27;27;27;27;-1,30;30;30;30;30;30;30;30;-1,13826812;90687879;170170497;249665549;340060310;430501319;520971575;611483625;-1
27,10.064285;7.279674;8.430903;9.395522;10.991195;11.8858;13.010776;14.046807;15.111897;16.176359;17.264285;18.364192;19.332492;-1,0.419207;0.207717;0.261905;0.826692;1.031912;1.06712;1.111319;1.19061;1.207445;1.302286;1.326722;1.377541;1.509508;-1,409;409;409;409;409;409;409;409;409;409;409;409;409;-1,0;340820;2083471;3913689;5745162;7852724;9960837;12069004;14177246;16285587;18394054;20502677;22611489;-1,0;340817;434559;529085;625124;722581;820038;917496;1014955;1112415;1209876;1307338;1404801;-1,0;5;5;5;5;5;5;5;5;5;5;5;5;-1,15;10;10;10;10;10;10;10;10;10;10;10;10;-1,15;15;15;15;15;15;15;15;15;15;15;15;15;-1,15320617;74257639;136040303;197831216;268488384;339166679;409844960;480531650;552414329;629146920;706354742;783570933;860795484;-1
28,10.817775;5.218135;6.418149;7.219508;8.611075;9.511552;10.636567;11.813103;12.899222;14.050955;15.141803;16.176371;17.194491;18.223672;19.305969;20.337124;-1,0.427773;0.120777;0.174208;0.276527;0.372691;0.373536;0.416575;0.41547;0.456444;0.467236;0.533227;0.514225;0.536489;0.555745;0.597382;0.604528;-1,405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;405;-1,0;346592;945674;1632919;2321397;3101858;3882415;4663116;5444017;6225182;7006683;7788600;8571021;9354042;10137767;10922308;-1,0;346585;441396;536990;634059;731929;829800;927672;1025545;1123419;1221294;1319170;1417047;1514925;1612804;1710684;-1,0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-1,14;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;-1,14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;-1,15590205;37978902;63234375;88493886;116712840;144940169;173175851;201424001;231929247;262639626;293469271;324328106;355220287;386149968;417129709;448159447;-1
29,9.368515;4.784769,0.368455;1.15369,380;380,0;314935,0;314934,0;3,3;0,3;3,14117909;34486498
30,11.136028;11.852613;13.136119;13.936333;15.556259;16.47261;17.674786;18.673376;21.016645;20.971526;22.040922;-1,0.433827;0.344071;0.419169;1.083897;1.264396;1.249658;1.319481;1.381569;1.559231;1.540649;1.706277;-1,454;454;454;454;454;454;454;454;454;454;454;-1,0;346368;3965963;7675521;11386404;15377697;19369583;23361553;27353646;31345911;35338408;-1,0;346356;443838;542137;642016;743345;844676;946010;1047347;1148687;1250030;-1,0;5;5;5;5;5;5;5;5;5;5;-1,23;18;18;18;18;18;18;18;18;18;18;-1,23;23;23;23;23;23;23;23;23;23;23;-1,15741307;134918797;257018036;379125513;510255220;641406052;772556876;904129802;1046983319;1190226064;1333583954;-1
